name,lat,lon,2020pop,2015pop,2010pop,2000pop,1990pop
Norway,60.472024,8.468946,5379839,5190356,4889741,4491202,4241636
Oman,21.512583,55.923255,4543399,4191776,2881914,2344253,1804524
Pakistan,30.375321,69.345116,227196741,210969298,194454498,154369924,115414069
Palau,7.51498,134.58252,17972,17794,18540,19726,15293
Panama,8.537981,-80.782127,4294396,3957099,3623617,3001731,2449968
Papua New Guinea,-6.314993,143.95555,9749640,8682174,7583269,5508297,3864972
Paraguay,-23.442503,-58.443832,6618695,6177950,5768613,5123819,4059195
Peru,-9.189967,-75.015152,33304756,30711863,29229572,26654439,22109099
Philippines,12.879721,121.774017,112190977,103031365,94636700,77958223,61558898
Poland,51.919438,19.145136,38428366,38553146,38597353,38504431,38064255
Portugal,39.399872,-8.224454,10298192,10365435,10588401,10300626,10007346
Puerto Rico,18.220833,-66.590149,3271564,3497335,3717922,3827108,3543776
Qatar,25.354826,51.183884,2760385,2414573,1713504,645937,441675
Republic of Korea,35.907757,127.766922,51844690,50994401,48813042,46788591,44120039
Republic of Moldova,47.411631,28.369885,3084847,3277388,3678186,4251573,4480199
Romania,45.943161,24.96676,19442038,19906079,20335211,21919876,22836234
Russian Federation,61.52401,105.318756,145617329,144668389,143242599,146844839,148005704
Rwanda,-1.940278,29.873888,13146362,11642959,10309031,8109989,7319962
Réunion,21.1151,55.5364,957822,922495,890130,785424,658992
Saint Kitts and Nevis,17.357822,-62.782998,47642,47790,47403,45461,40636
Saint Lucia,13.909444,-60.978893,179237,175623,170935,159500,142301
Saint Pierre and Miquelon,46.941936,-56.27111,5906,5978,6052,6274,6324
Saint Vincent and the Grenadines,12.984305,-61.287228,104632,106482,109308,113813,112487
Samoa,-13.759029,-172.104629,214929,203571,194672,184008,168186
San Marino,43.94236,12.457777,34007,33570,31608,26823,23132
Sao Tome and Principe,0.1864,6.6131,218641,201124,182138,143714,120343
Saudi Arabia,23.885942,45.079162,35997107,32749848,29411929,21547390,16004763
Senegal,14.497401,-14.452362,16436119,14356181,12530121,9704287,7536001
Serbia,44.016521,21.005859,7358005,7519496,7653748,7935022,7987529
Seychelles,-4.679574,55.491977,105530,99240,92409,80060,71057
Sierra Leone,8.460555,-11.779889,8233969,7314773,6436698,4584067,4325388
Singapore,1.352083,103.819836,5909869,5650018,5163590,4053602,3022209
Slovakia,48.669026,19.699024,5456681,5424444,5396424,5376690,5261305
Slovenia,46.151241,14.995463,2117641,2080862,2057286,1984339,1986024
Solomon Islands,-9.64571,160.156194,691191,612660,540394,429978,324171
