Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
United Kingdom*,Maldives,3.202778,73.22068,55.378051,-3.435973,dhivehi, Indo-European,english, Indo-European
United Kingdom*,Maldives,3.202778,73.22068,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Malta,35.937496,14.375416,55.378051,-3.435973,maltese, Afro-Asiatic,english, Indo-European
United Kingdom*,Jordan,30.585164,36.238414,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Jordan,30.585164,36.238414,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Iraq,33.223191,43.679291,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Oman,21.512583,55.923255,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Nigeria,9.081999,8.675277,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Zimbabwe,-19.015438,29.154857,55.378051,-3.435973,shona, Niger-Congo,english, Indo-European
United Kingdom*,Zambia,-13.133897,27.849332,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Malawi,-13.254308,34.301525,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Seychelles,-4.679574,55.491977,55.378051,-3.435973,creole, Creole,english, Indo-European
United Kingdom*,Sierra Leone,8.460555,-11.779889,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Singapore,1.352083,103.819836,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Singapore,1.352083,103.819836,55.378051,-3.435973,mandarin, Sino-Tibetan,english, Indo-European
United Kingdom*,South Africa,-30.559482,22.937506,55.378051,-3.435973,zulu, Niger-Congo,english, Indo-European
United Kingdom*,Botswana,-22.328474,24.684866,55.378051,-3.435973,setswana, Niger-Congo,english, Indo-European
United Kingdom*,Saudi Arabia,23.885942,45.079162,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Eswatini,26.5225,31.4659,55.378051,-3.435973,swati, Niger-Congo ,english, Indo-European
United Kingdom*,Mexico,23.634501,-102.552784,55.378051,-3.435973,spanish, Indo-European,english, Indo-European
United Kingdom*,Trinidad and Tobago,10.691803,-61.222503,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,United Arab Emirates,23.424076,53.847818,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,United Arab Emirates,23.424076,53.847818,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Uganda,1.373333,32.290275,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Uganda,1.373333,32.290275,55.378051,-3.435973,swahili, Niger-Congo,english, Indo-European
United Kingdom*,Russian Federation,61.52401,105.318756,55.378051,-3.435973,russian, Indo-European,english, Indo-European
France*,Indonesia,-0.789275,113.921327,46.227638,2.213749,indonesian, Austronesian,french, Indo-European
France*,Brazil,-14.235004,-51.92528,46.227638,2.213749,portuguese, Indo-European,french, Indo-European
France*,Papua New Guinea,-6.314993,143.95555,46.227638,2.213749,tok pisin, Creole,french, Indo-European
France*,Papua New Guinea,-6.314993,143.95555,46.227638,2.213749,english, Indo-European,french, Indo-European
France*,Brazil,-14.235004,-51.92528,46.227638,2.213749,portuguese, Indo-European,french, Indo-European
France*,Canada,56.130366,-106.346771,46.227638,2.213749,english, Indo-European,french, Indo-European
France*,Canada,56.130366,-106.346771,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Algeria,28.033886,1.659626,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Algeria,28.033886,1.659626,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Comoros,-11.875001,43.872219,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Comoros,-11.875001,43.872219,46.227638,2.213749,french, Indo-European,french, Indo-European
